Rule ID,Rule Name,Field,Rule Type,Severity,Enabled,Message,Expected / Values
R001,LOCATION-CODE required,LOCATION-CODE,not_empty,error,Yes,LOCATION-CODE must not be empty,
R002,LOCATION-CODE length check,LOCATION-CODE,length,error,Yes,LOCATION-CODE payload length must be between 1 and 6 characters,1..6
R003,LOCATION-CODE valid values,LOCATION-CODE,valid_values,error,Yes,LOCATION-CODE must be one of: 100030,100030
R004,ACCT-NUM required,ACCT-NUM,not_empty,error,Yes,ACCT-NUM must not be empty,
R005,ACCT-NUM length check,ACCT-NUM,length,error,Yes,ACCT-NUM payload length must be between 14 and 18 characters,14..18
R006,TRANSACTION-CODE required,TRANSACTION-CODE,not_empty,error,Yes,TRANSACTION-CODE must not be empty,
R007,TRANSACTION-CODE length check,TRANSACTION-CODE,length,error,Yes,TRANSACTION-CODE payload length must be between 1 and 3 characters,1..3
R008,TRANSACTION-CODE valid values,TRANSACTION-CODE,valid_values,error,Yes,TRANSACTION-CODE must be one of: 605,605
R009,TRANSACTION-DATE required,TRANSACTION-DATE,not_empty,error,Yes,TRANSACTION-DATE must not be empty,
R010,TRANSACTION-DATE date format,TRANSACTION-DATE,date_format,error,Yes,TRANSACTION-DATE must be a valid date (CCYYMMDD),CCYYMMDD
R011,TRANSACTION-DATE length check,TRANSACTION-DATE,exact_length,error,Yes,TRANSACTION-DATE must be exactly 8 characters,8
R012,TRANSACTION-DATE valid values,TRANSACTION-DATE,valid_values,error,Yes,TRANSACTION-DATE must be one of: <Batch,<Batch
R013,NEW-PORTFOLIO-LOCATION-CODE required,NEW-PORTFOLIO-LOCATION-CODE,not_empty,error,Yes,NEW-PORTFOLIO-LOCATION-CODE must not be empty,
R014,NEW-PORTFOLIO-LOCATION-CODE length check,NEW-PORTFOLIO-LOCATION-CODE,length,error,Yes,NEW-PORTFOLIO-LOCATION-CODE payload length must be between 1 and 6 characters,1..6
R015,NEW-PORTFOLIO-LOCATION-CODE valid values,NEW-PORTFOLIO-LOCATION-CODE,valid_values,error,Yes,NEW-PORTFOLIO-LOCATION-CODE must be one of: 200000,200000
R016,NEW-PORTFOLIO-ID required,NEW-PORTFOLIO-ID,not_empty,error,Yes,NEW-PORTFOLIO-ID must not be empty,
R017,NEW-PORTFOLIO-ID length check,NEW-PORTFOLIO-ID,length,error,Yes,NEW-PORTFOLIO-ID payload length must be between 1 and 18 characters,1..18
R018,NEW-PORTFOLIO-CONTACT-ID required,NEW-PORTFOLIO-CONTACT-ID,not_empty,error,Yes,NEW-PORTFOLIO-CONTACT-ID must not be empty,
R019,NEW-PORTFOLIO-CONTACT-ID length check,NEW-PORTFOLIO-CONTACT-ID,length,error,Yes,NEW-PORTFOLIO-CONTACT-ID payload length must be between 1 and 24 characters,1..24
